标题： 求那张 谢耳朵和艾米 星际迷航cos的图	 链接： http://tieba.baidu.com//p/6078449562	 发贴人： yitasyang	  发贴时间: 3-24	 回复人： 1
标题： 威尔·惠顿是不是真的是星战的演员啊！还是。。。	 链接： http://tieba.baidu.com//p/1467102489	 发贴人： zhkjack	  发贴时间: 2014-02	 回复人： 46
标题： 有没有发现霍华德从来没进过penny的那个家	 链接： http://tieba.baidu.com//p/5106023124	 发贴人： 杜兰特724	  发贴时间: 2017-05	 回复人： 29
标题： 辛8	 链接： http://tieba.baidu.com//p/6078140547	 发贴人： 青青草原呀6	  发贴时间: 3-24	 回复人： 0
标题： 拉行业群云控拉群	 链接： http://tieba.baidu.com//p/6075096894	 发贴人： bbw147打粉	  发贴时间: 3-21	 回复人： 5
标题： 谢耳朵这是个什么牌子笔记本？	 链接： http://tieba.baidu.com//p/6077092387	 发贴人： 暗月的黑夜	  发贴时间: 3-23	 回复人： 6
标题： 「合集」生活大爆炸1-12季❤️无删版1080	 链接： http://tieba.baidu.com//p/6078041221	 发贴人： 你真好看...	  发贴时间: 3-24	 回复人： 2
标题： 【合集】生活大爆炸1-12季🆎无删版1080	 链接： http://tieba.baidu.com//p/6071525862	 发贴人： 自由民主...	  发贴时间: 3-18	 回复人： 23
标题： 感觉我讨厌谢尔顿了	 链接： http://tieba.baidu.com//p/4549070309	 发贴人： 	  发贴时间: 2016-05	 回复人： 57
标题： 请大家帮个忙，找一下这是哪一季哪一集的片段？	 链接： http://tieba.baidu.com//p/6080433705	 发贴人： 璃葻	  发贴时间: 12:35	 回复人： 0
标题： 设计趋势这么好，有没有想学习的呢	 链接： http://tieba.baidu.com//p/6075375690	 发贴人： 大神学姐	  发贴时间: 3-21	 回复人： 6
标题： 求问资深TBBT	 链接： http://tieba.baidu.com//p/6074177447	 发贴人： 家咧非	  发贴时间: 3-20	 回复人： 3
标题： 锻炼眼睛可以摘掉1000度眼镜，是什么原理？	 链接： http://tieba.baidu.com//p/6065332211	 发贴人： 赛诸葛	  发贴时间: 3-13	 回复人： 18
标题： 为什么不更新了最近？	 链接： http://tieba.baidu.com//p/6080374983	 发贴人： ICE_unicorn_	  发贴时间: 11:32	 回复人： 1
标题： 小谢尔顿她妈打扮成天使的是哪一集？	 链接： http://tieba.baidu.com//p/6078462988	 发贴人： 次元披风	  发贴时间: 3-24	 回复人： 2
标题： 要的	 链接： http://tieba.baidu.com//p/6080366619	 发贴人： 仅有的唯...	  发贴时间: 11:24	 回复人： 0
标题： 上海310单身入 圈子小才是你单身的理由	 链接： http://tieba.baidu.com//p/6061618570	 发贴人： 脱单告急	  发贴时间: 3-9	 回复人： 16
标题： 真的好讨厌艾米啊！！！	 链接： http://tieba.baidu.com//p/3608126820	 发贴人： 叫兽易小屋	  发贴时间: 2015-02	 回复人： 13
标题： 追了超10年的美剧，以后只能在这里慢慢回看	 链接： http://tieba.baidu.com//p/6064916660	 发贴人： 紫月朝天	  发贴时间: 3-12	 回复人： 24
标题： 这个是Bernadette吗？？？	 链接： http://tieba.baidu.com//p/6063884333	 发贴人： Mr_lin_Sam	  发贴时间: 3-11	 回复人： 6
标题： 我就想知道raj看着安努是怎么下得去嘴的	 链接： http://tieba.baidu.com//p/6074602447	 发贴人： 红小兵老丁	  发贴时间: 3-21	 回复人： 6
标题： 我最喜欢宅在家里	 链接： http://tieba.baidu.com//p/6079956118	 发贴人： vdfkatng812307	  发贴时间: 3-25	 回复人： 0
标题： 说句实话，sheldon结婚之后，本剧可以弃了！	 链接： http://tieba.baidu.com//p/5763036871	 发贴人： 恒子	  发贴时间: 2018-06	 回复人： 23
标题： 真心求《生活大爆炸》所有季资源呀谁能提供给我吗	 链接： http://tieba.baidu.com//p/6078817875	 发贴人： 是木子斤欠	  发贴时间: 3-24	 回复人： 2
标题： 这是哪一季的哪一集啊？	 链接： http://tieba.baidu.com//p/6079174676	 发贴人： 送我上c位吗	  发贴时间: 3-25	 回复人： 4
标题： 自己在无聊时刻画了点画	 链接： http://tieba.baidu.com//p/6079143714	 发贴人： 独秀丶	  发贴时间: 3-25	 回复人： 2
标题： sheldon&penny	 链接： http://tieba.baidu.com//p/5862765200	 发贴人： 2685yi	  发贴时间: 2018-08	 回复人： 2
标题： 不知道你们有留意过每集片尾的编剧留言没	 链接： http://tieba.baidu.com//p/5794429785	 发贴人： 指南	  发贴时间: 2018-07	 回复人： 29
标题： 十二季十八集出了吗？谢谢	 链接： http://tieba.baidu.com//p/6077093064	 发贴人： 七	  发贴时间: 3-23	 回复人： 9
标题： 看他们玩游戏这一集真的会把我笑死	 链接： http://tieba.baidu.com//p/6047934254	 发贴人： 水南边的...	  发贴时间: 2-26	 回复人： 15
标题： 逸掌帮蒸汽洗车有问必答，全面了解它	 链接： http://tieba.baidu.com//p/6079545547	 发贴人： 环美亚汽车	  发贴时间: 3-25	 回复人： 0
标题： 第十二季多少级了啊，一个月了，怎么感觉只从16更新到17，	 链接： http://tieba.baidu.com//p/6079527686	 发贴人： tywdxin	  发贴时间: 3-25	 回复人： 0
标题： 我只喜欢你，不管刮风和下雨，我只喜欢你，制造各种相遇，嘿，你	 链接： http://tieba.baidu.com//p/6079361244	 发贴人： HL17044029152	  发贴时间: 3-25	 回复人： 5
标题： 我是中国云南人来缅甸大概八年，这里生活也像中国一样	 链接： http://tieba.baidu.com//p/6079351621	 发贴人： 蒋学坤	  发贴时间: 3-25	 回复人： 0
标题： 谁能记起来，耳朵教佩尼学物理是哪季哪一集啊？	 链接： http://tieba.baidu.com//p/6078219105	 发贴人： zhainandiguo	  发贴时间: 3-24	 回复人： 2
标题： 贴吧还有人玩吗	 链接： http://tieba.baidu.com//p/6079314443	 发贴人： 名字能不...	  发贴时间: 3-25	 回复人： 0
标题： 生活大爆炸关键主角是谁？	 链接： http://tieba.baidu.com//p/6079314355	 发贴人： wing8046	  发贴时间: 3-25	 回复人： 0
标题： 谁有谢尔顿那张“朕的大脑天下无敌”的表情包啊？好像是手拿一个	 链接： http://tieba.baidu.com//p/5813695631	 发贴人： Power	  发贴时间: 2018-07	 回复人： 7
标题： 这不是山姆吗？指环王的山姆，在第十二季十三集里出现的那两个博	 链接： http://tieba.baidu.com//p/6078742329	 发贴人： 汪徐	  发贴时间: 3-24	 回复人： 1
标题： 帝吧大佬来帮帮忙看看这辆电瓶车和汽车谁的责任大	 链接： http://tieba.baidu.com//p/6078960259	 发贴人： 贴吧用户_...	  发贴时间: 3-25	 回复人： 0
标题： 以为时间很难过其实很快。最近看书看的烦，以至于总是走神，胡思	 链接： http://tieba.baidu.com//p/6077838845	 发贴人： 水南边的...	  发贴时间: 3-24	 回复人： 1
标题： 老铁们来点拉杰什的表情包谢谢	 链接： http://tieba.baidu.com//p/6078818863	 发贴人： 纸人未来...	  发贴时间: 3-24	 回复人： 0
标题： 求助，生活大爆炸哪一集比较适合演舞台剧	 链接： http://tieba.baidu.com//p/6078256930	 发贴人： 伟大的哲人	  发贴时间: 3-24	 回复人： 2
标题： 谢耳朵现在很少说这句话了啊	 链接： http://tieba.baidu.com//p/5039045409	 发贴人： 祭坛心	  发贴时间: 2017-03	 回复人： 17
标题： 这两件外套很好看	 链接： http://tieba.baidu.com//p/6062784598	 发贴人： 带打字机...	  发贴时间: 3-10	 回复人： 1
标题： leonard也有恶心人的时候	 链接： http://tieba.baidu.com//p/6060145391	 发贴人： Byftfui	  发贴时间: 3-8	 回复人： 5
标题： 经我听到身边很多人说起过“博弈”这个词。	 链接： http://tieba.baidu.com//p/6078446838	 发贴人： 周瑞发prince	  发贴时间: 3-24	 回复人： 7
标题： 12341	 链接： http://tieba.baidu.com//p/6074518684	 发贴人： 阳光天地...	  发贴时间: 3-21	 回复人： 1
标题： 求那张 谢耳朵和艾米 星际迷航cos的图	 链接： http://tieba.baidu.com//p/6078449562	 发贴人： yitasyang	  发贴时间: 3-24	 回复人： 1
标题： 威尔·惠顿是不是真的是星战的演员啊！还是。。。	 链接： http://tieba.baidu.com//p/1467102489	 发贴人： zhkjack	  发贴时间: 2014-02	 回复人： 46
标题： 有没有发现霍华德从来没进过penny的那个家	 链接： http://tieba.baidu.com//p/5106023124	 发贴人： 杜兰特724	  发贴时间: 2017-05	 回复人： 29
标题： 辛8	 链接： http://tieba.baidu.com//p/6078140547	 发贴人： 青青草原呀6	  发贴时间: 3-24	 回复人： 0
标题： 拉行业群云控拉群	 链接： http://tieba.baidu.com//p/6075096894	 发贴人： bbw147打粉	  发贴时间: 3-21	 回复人： 5
标题： 谢耳朵这是个什么牌子笔记本？	 链接： http://tieba.baidu.com//p/6077092387	 发贴人： 暗月的黑夜	  发贴时间: 3-23	 回复人： 6
标题： 「合集」生活大爆炸1-12季❤️无删版1080	 链接： http://tieba.baidu.com//p/6078041221	 发贴人： 你真好看...	  发贴时间: 3-24	 回复人： 2
标题： 【合集】生活大爆炸1-12季🆎无删版1080	 链接： http://tieba.baidu.com//p/6071525862	 发贴人： 自由民主...	  发贴时间: 3-18	 回复人： 23
标题： 感觉我讨厌谢尔顿了	 链接： http://tieba.baidu.com//p/4549070309	 发贴人： 	  发贴时间: 2016-05	 回复人： 57
标题： 请大家帮个忙，找一下这是哪一季哪一集的片段？	 链接： http://tieba.baidu.com//p/6080433705	 发贴人： 璃葻	  发贴时间: 12:35	 回复人： 0
标题： 设计趋势这么好，有没有想学习的呢	 链接： http://tieba.baidu.com//p/6075375690	 发贴人： 大神学姐	  发贴时间: 3-21	 回复人： 6
标题： 求问资深TBBT	 链接： http://tieba.baidu.com//p/6074177447	 发贴人： 家咧非	  发贴时间: 3-20	 回复人： 3
标题： 锻炼眼睛可以摘掉1000度眼镜，是什么原理？	 链接： http://tieba.baidu.com//p/6065332211	 发贴人： 赛诸葛	  发贴时间: 3-13	 回复人： 18
标题： 为什么不更新了最近？	 链接： http://tieba.baidu.com//p/6080374983	 发贴人： ICE_unicorn_	  发贴时间: 11:32	 回复人： 1
标题： 小谢尔顿她妈打扮成天使的是哪一集？	 链接： http://tieba.baidu.com//p/6078462988	 发贴人： 次元披风	  发贴时间: 3-24	 回复人： 2
标题： 要的	 链接： http://tieba.baidu.com//p/6080366619	 发贴人： 仅有的唯...	  发贴时间: 11:24	 回复人： 0
标题： 上海310单身入 圈子小才是你单身的理由	 链接： http://tieba.baidu.com//p/6061618570	 发贴人： 脱单告急	  发贴时间: 3-9	 回复人： 16
标题： 真的好讨厌艾米啊！！！	 链接： http://tieba.baidu.com//p/3608126820	 发贴人： 叫兽易小屋	  发贴时间: 2015-02	 回复人： 13
标题： 追了超10年的美剧，以后只能在这里慢慢回看	 链接： http://tieba.baidu.com//p/6064916660	 发贴人： 紫月朝天	  发贴时间: 3-12	 回复人： 24
标题： 这个是Bernadette吗？？？	 链接： http://tieba.baidu.com//p/6063884333	 发贴人： Mr_lin_Sam	  发贴时间: 3-11	 回复人： 6
标题： 我就想知道raj看着安努是怎么下得去嘴的	 链接： http://tieba.baidu.com//p/6074602447	 发贴人： 红小兵老丁	  发贴时间: 3-21	 回复人： 6
标题： 我最喜欢宅在家里	 链接： http://tieba.baidu.com//p/6079956118	 发贴人： vdfkatng812307	  发贴时间: 3-25	 回复人： 0
标题： 说句实话，sheldon结婚之后，本剧可以弃了！	 链接： http://tieba.baidu.com//p/5763036871	 发贴人： 恒子	  发贴时间: 2018-06	 回复人： 23
标题： 真心求《生活大爆炸》所有季资源呀谁能提供给我吗	 链接： http://tieba.baidu.com//p/6078817875	 发贴人： 是木子斤欠	  发贴时间: 3-24	 回复人： 2
标题： 这是哪一季的哪一集啊？	 链接： http://tieba.baidu.com//p/6079174676	 发贴人： 送我上c位吗	  发贴时间: 3-25	 回复人： 4
标题： 自己在无聊时刻画了点画	 链接： http://tieba.baidu.com//p/6079143714	 发贴人： 独秀丶	  发贴时间: 3-25	 回复人： 2
标题： sheldon&penny	 链接： http://tieba.baidu.com//p/5862765200	 发贴人： 2685yi	  发贴时间: 2018-08	 回复人： 2
标题： 不知道你们有留意过每集片尾的编剧留言没	 链接： http://tieba.baidu.com//p/5794429785	 发贴人： 指南	  发贴时间: 2018-07	 回复人： 29
标题： 十二季十八集出了吗？谢谢	 链接： http://tieba.baidu.com//p/6077093064	 发贴人： 七	  发贴时间: 3-23	 回复人： 9
标题： 看他们玩游戏这一集真的会把我笑死	 链接： http://tieba.baidu.com//p/6047934254	 发贴人： 水南边的...	  发贴时间: 2-26	 回复人： 15
标题： 逸掌帮蒸汽洗车有问必答，全面了解它	 链接： http://tieba.baidu.com//p/6079545547	 发贴人： 环美亚汽车	  发贴时间: 3-25	 回复人： 0
标题： 第十二季多少级了啊，一个月了，怎么感觉只从16更新到17，	 链接： http://tieba.baidu.com//p/6079527686	 发贴人： tywdxin	  发贴时间: 3-25	 回复人： 0
标题： 我只喜欢你，不管刮风和下雨，我只喜欢你，制造各种相遇，嘿，你	 链接： http://tieba.baidu.com//p/6079361244	 发贴人： HL17044029152	  发贴时间: 3-25	 回复人： 5
标题： 我是中国云南人来缅甸大概八年，这里生活也像中国一样	 链接： http://tieba.baidu.com//p/6079351621	 发贴人： 蒋学坤	  发贴时间: 3-25	 回复人： 0
标题： 谁能记起来，耳朵教佩尼学物理是哪季哪一集啊？	 链接： http://tieba.baidu.com//p/6078219105	 发贴人： zhainandiguo	  发贴时间: 3-24	 回复人： 2
标题： 贴吧还有人玩吗	 链接： http://tieba.baidu.com//p/6079314443	 发贴人： 名字能不...	  发贴时间: 3-25	 回复人： 0
标题： 生活大爆炸关键主角是谁？	 链接： http://tieba.baidu.com//p/6079314355	 发贴人： wing8046	  发贴时间: 3-25	 回复人： 0
标题： 谁有谢尔顿那张“朕的大脑天下无敌”的表情包啊？好像是手拿一个	 链接： http://tieba.baidu.com//p/5813695631	 发贴人： Power	  发贴时间: 2018-07	 回复人： 7
标题： 这不是山姆吗？指环王的山姆，在第十二季十三集里出现的那两个博	 链接： http://tieba.baidu.com//p/6078742329	 发贴人： 汪徐	  发贴时间: 3-24	 回复人： 1
标题： 帝吧大佬来帮帮忙看看这辆电瓶车和汽车谁的责任大	 链接： http://tieba.baidu.com//p/6078960259	 发贴人： 贴吧用户_...	  发贴时间: 3-25	 回复人： 0
标题： 以为时间很难过其实很快。最近看书看的烦，以至于总是走神，胡思	 链接： http://tieba.baidu.com//p/6077838845	 发贴人： 水南边的...	  发贴时间: 3-24	 回复人： 1
标题： 老铁们来点拉杰什的表情包谢谢	 链接： http://tieba.baidu.com//p/6078818863	 发贴人： 纸人未来...	  发贴时间: 3-24	 回复人： 0
标题： 求助，生活大爆炸哪一集比较适合演舞台剧	 链接： http://tieba.baidu.com//p/6078256930	 发贴人： 伟大的哲人	  发贴时间: 3-24	 回复人： 2
标题： 谢耳朵现在很少说这句话了啊	 链接： http://tieba.baidu.com//p/5039045409	 发贴人： 祭坛心	  发贴时间: 2017-03	 回复人： 17
标题： 这两件外套很好看	 链接： http://tieba.baidu.com//p/6062784598	 发贴人： 带打字机...	  发贴时间: 3-10	 回复人： 1
标题： leonard也有恶心人的时候	 链接： http://tieba.baidu.com//p/6060145391	 发贴人： Byftfui	  发贴时间: 3-8	 回复人： 5
标题： 经我听到身边很多人说起过“博弈”这个词。	 链接： http://tieba.baidu.com//p/6078446838	 发贴人： 周瑞发prince	  发贴时间: 3-24	 回复人： 7
标题： 12341	 链接： http://tieba.baidu.com//p/6074518684	 发贴人： 阳光天地...	  发贴时间: 3-21	 回复人： 1
标题： 求那张 谢耳朵和艾米 星际迷航cos的图	 链接： http://tieba.baidu.com//p/6078449562	 发贴人： yitasyang	  发贴时间: 3-24	 回复人： 1
标题： 威尔·惠顿是不是真的是星战的演员啊！还是。。。	 链接： http://tieba.baidu.com//p/1467102489	 发贴人： zhkjack	  发贴时间: 2014-02	 回复人： 46
标题： 有没有发现霍华德从来没进过penny的那个家	 链接： http://tieba.baidu.com//p/5106023124	 发贴人： 杜兰特724	  发贴时间: 2017-05	 回复人： 29
标题： 辛8	 链接： http://tieba.baidu.com//p/6078140547	 发贴人： 青青草原呀6	  发贴时间: 3-24	 回复人： 0
标题： 拉行业群云控拉群	 链接： http://tieba.baidu.com//p/6075096894	 发贴人： bbw147打粉	  发贴时间: 3-21	 回复人： 5
标题： 谢耳朵这是个什么牌子笔记本？	 链接： http://tieba.baidu.com//p/6077092387	 发贴人： 暗月的黑夜	  发贴时间: 3-23	 回复人： 6
